attraction_name,matched_review_destinations,match_type,review_count,review_evidence_available
Yala National Park,[],none,0,False
Sigiriya,[],none,0,False
Galle Fort,"['Black Galle Fort', 'Galle Fort Clock Tower', 'Galle Fort Attractions and Jumpers Sri Lanka']",alias,430,True
Ella,"['Bomburu Ella Waterfall', 'Sera ella water falls', 'Dumbara ella waterfalls', 'Rahas ella waterfalls', 'Balakaduwa ella waterfall', 'TURTLE POINT BATHEEGAMA, DiCKWELLA.', 'Marakkala Ella', 'Kande sudu ella water falls', 'Atha Mala Ella', 'Dumpus Ella', 'Bambarakiri ella', 'Bopagama Ella', 'Abarana Ella', 'Bellagio colombo', 'Madanagiri Ella', 'Dehena Ella', 'Pareiyan Ella Falls', 'Mapalana Ella Falls', 'Lanka Ella - Waterfall', 'Kirindi Ella Waterfall', 'Katugas Ella Waterfall', 'Wadakada ella falls', 'Jodu ella water falls', 'Biso Ella Waterfall', 'Ravan Ella Waterfall', 'Minee Ella', 'Kurundu Oya Ella Falls', 'Goraka Ella']",substring,2894,True
Hikkaduwa Beach,[],none,0,False
Dambulla Cave Temple,[],none,0,False
Kataragama,[],none,0,False
Viharamahadevi Park,['Viharamahadevi Park'],exact,209,True
Panavitiya Ambalama,[],none,0,False
Gal Oya National Park,[],none,0,False
Victoria Park,[],none,0,False
Ridee Viharaya,[],none,0,False
Lahugala Kitulana Forest Reserve,[],none,0,False
Nikayalannuwara Historical Temple,[],none,0,False
Nilavara Bottomless Well,[],none,0,False
Udawalawe National Park,[],none,0,False
Neelagiri Stupa,[],none,0,False
Kalpitiya Beach,[],none,0,False
Traditional Village (Ape Gama),[],none,0,False
Point Pedro,[],none,0,False
Omunugala Cave Monastery,[],none,0,False
Lionel Wendt Art Centre,[],none,0,False
Rawana Ella and Ravana Falls,[],none,0,False
Negombo,[],none,0,False
Habuthala Viharaya or Tharulengala Monastery,[],none,0,False
Colombo Lighthouse,[],none,0,False
Bellanwila Temple (Bellanwila Rajamaha Viharaya),[],none,0,False
Ancient Veheragala of Pulukunawa,[],none,0,False
Veheragala Temple,[],none,0,False
Koggala Beach,[],none,0,False
The Nagapooshani Amman Kovil,[],none,0,False
Buddhangala Monastery,[],none,0,False
Mullikulamalai,[],none,0,False
Unawatuna,"['Jungle Beach, Unawatuna']",substring,226,True
Bandaraduwa,[],none,0,False
Sangamankanda Point,[],none,0,False
Meemure,[],none,0,False
Dowa Rock Temple,[],none,0,False
St. Clair's Falls,[],none,0,False
Negombo Beach,[],none,0,False
Baron's Cap or Thoppigala,[],none,0,False
The Steaming Hot Water Wells of Mahaoya,[],none,0,False
Delft Wild Horses,[],none,0,False
Colombo Gold Center,[],none,0,False
Wadinagala,[],none,0,False
Samangala Forest Hermitage,[],none,0,False
Little Adam's Peak,[],none,0,False
Okanda Devalaya (A Destination of Mass Pilgrimage),[],none,0,False
The Japanese Peace Pagoda,[],none,0,False
Rambodagalla Buddha Statue,[],none,0,False
Pigeon Island National Park,[],none,0,False
The Dagger Clawed People,[],none,0,False
Piyangala Forest Hermitage,[],none,0,False
Delft Baobab Tree,[],none,0,False
Shasthrawela,[],none,0,False
Mirissa,['Mirissa Beach'],substring,237,True
Angurukaramulla Temple,[],none,0,False
Pannathgoda Purana Raja Maha Viharaya,[],none,0,False
Sri Pada (Adam's Peak),[],none,0,False
Owagiriya Ancient Monastery,[],none,0,False
Okanda Beach,[],none,0,False
Maduwanwela Walawwa,[],none,0,False
Dunhinda Falls,[],none,0,False
Kaluthara Bodhiya,[],none,0,False
Maduru Oya National Wildlife Park,[],none,0,False
Seema Malakaya Meditation Centre,[],none,0,False
Wolvendaal Church,[],none,0,False
Independence Memorial Hall,[],none,0,False
Ancient Deegawapiya,[],none,0,False
Kosgoda,[],none,0,False
Pinnawala Elephant Orphanage,[],none,0,False
Sinharaja,[],none,0,False
Wasgamuwa National Park,[],none,0,False
Veddagala,[],none,0,False
Laxapana Falls,[],none,0,False
Diva Guhawa - Batatota Lena,['Diva Guhawa'],substring,82,True
Bahirawa Kanda,[],none,0,False
Bundala National Park,['Bundala National Park'],exact,190,True
Diyatha Uyana,['Diyatha Uyana'],exact,200,True
Sri Shakhyasinharamaya,[],none,0,False
Craft Village,[],none,0,False
Richmond Castle,['Richmond Castle'],exact,240,True
Muhudu Maha Viharaya,[],none,0,False
Arcade Independence Square,['Independence Square'],substring,207,True
Beira Lake,[],none,0,False
Delft Island,[],none,0,False
Rambakan Oya,[],none,0,False
Wilpattu National Park,[],none,0,False
Tomb of King Vijay,[],none,0,False
Senanayaka Samudraya of Inginiyagala,[],none,0,False
Sri Dalada Maligawa (Temple of the Tooth),[],none,0,False
Delft Growing Stone,[],none,0,False
Alawala Devin Penne Ela,[],none,0,False
Ratmullukanda Viharaya,[],none,0,False
Hamilton Canal,['Hamilton Canal Park'],substring,59,True
Henarathgoda Botanical Garden,[],none,0,False
Yapahuwa Rock Fortress,['Yapahuwa rock fortress'],normalized,573,True
Rajagala,[],none,0,False
Maduru Oya Reservoir,[],none,0,False
Attanagalla Raja Maha Viharava,[],none,0,False
Jungle Beach,"['Jungle Beach, Unawatuna']",substring,226,True
Nuwaragala,[],none,0,False
Kudumbigala Monastery,[],none,0,False
Kumana National Park,[],none,0,False
Horton Plains,['Horton plains national park'],substring,1009,True
Devon Falls,['Devon Falls'],exact,288,True
Whale Watching in Mirissa,[],none,0,False
Kebiliththa Devalaya,[],none,0,False
Dehiwala Zoo,['Dehiwala Zoological Gardens'],substring,208,True
Kudagala Forest Reserve & Monastery,[],none,0,False
Koneswaram Kovil,[],none,0,False
Aukana,[],none,0,False
Gamini-Thissa Monastery Complex in Mottagala,[],none,0,False
Bopagama Water Fall,[],none,0,False
Asupini Ella,[],none,0,False
Baranaville,[],none,0,False
Bellanwila,[],none,0,False
Botanical Garden in Galle,[],none,0,False
Budugala (or Buduggala),[],none,0,False
Dambakola Patuna Viharaya,[],none,0,False
Gregory Lake,[],none,0,False
Higurujaya Temple,[],none,0,False
Jaffna Fort,[],none,0,False
Kabbadda Cave,[],none,0,False
Kabiragala,[],none,0,False
Kadeiduwana,[],none,0,False
Kaluganga Maha Viharaya,[],none,0,False
Kirinda,['Kirinda Beach'],substring,187,True
Komarawela Rajamaha Viharaya,[],none,0,False
Abarana Ella,['Abarana Ella'],exact,15,True
Aradunu Falls,['Aradunu Falls'],exact,38,True
Arankele archaeological site,['Arankele archaeological site'],exact,46,True
Asgiriya Raja Maha Viharaya,['Asgiriya Raja Maha Viharaya'],exact,119,True
Atha Mala Ella,['Atha Mala Ella'],exact,71,True
Athkanda raja maha viharaya,['Athkanda raja maha viharaya'],exact,114,True
Athugala viharaya,['Athugala viharaya'],exact,203,True
Attidiya Bird Sanctuary,['Attidiya Bird Sanctuary'],exact,206,True
Badulla Alugolla Samadhi Buddha,['Badulla Alugolla Samadhi Buddha'],exact,23,True
Badulla Dutch Fort,['Badulla Dutch Fort'],exact,77,True
Badulla Katharagama Devalaya,['Badulla Katharagama Devalaya'],exact,51,True
Balakaduwa ella waterfall,['Balakaduwa ella waterfall'],exact,10,True
Bambarakiri ella,['Bambarakiri ella'],exact,660,True
Barberyn Island,['Barberyn Island'],exact,46,True
Bataatha Agro Technology and Tourism Park,['Bataatha Agro Technology and Tourism Park'],exact,211,True
Batadobalena,['Batadobalena'],exact,93,True
Beddagana Wetland Park,['Beddagana Wetland Park'],exact,199,True
Birds Research Center Hambantota,['Birds Research Center Hambantota'],exact,267,True
Biso Ella Waterfall,['Biso Ella Waterfall'],exact,53,True
Black Galle Fort,['Black Galle Fort'],exact,45,True
Boburu Fall Tracking,['Boburu Fall Tracking'],exact,19,True
Bogoda Raja Maha Viharaya,['Bogoda Raja Maha Viharaya'],exact,33,True
Bomburu Ella Waterfall,['Bomburu Ella Waterfall'],exact,222,True
Bopagama Ella,['Bopagama Ella'],exact,87,True
Bopath Falls,['Bopath Falls'],exact,321,True
Bundala Safari with Srimal,['Bundala Safari with Srimal'],exact,44,True
Cathedral Church of Christ the King,['Cathedral Church of Christ the King'],exact,13,True
Children park - lakeround,['Children park - lakeround'],exact,227,True
"Christ Church Warleigh, Dickoya","['Christ Church Warleigh, Dickoya']",exact,10,True
Colombo Natational Museum,['colombo Natational Museum'],normalized,205,True
Colombo Port Maritime Museum,['colombo Port Maritime Museum'],normalized,31,True
Colombo Port Old Lighthouse,['colombo Port Old Lighthouse'],normalized,194,True
Crow Island Beach Park,['Crow Island Beach Park'],exact,206,True
Dalada maligawa kurunagela,['Dalada maligawa kurunagela'],exact,6,True
Dandeniya Wewa,['Dandeniya Wewa'],exact,23,True
Deduru oya dam,['Deduru oya dam'],exact,10,True
Deduru oya resovir park,['Deduru oya resovir park'],exact,27,True
Dehena Ella,['Dehena Ella'],exact,77,True
Dehiwala Zoological Gardens,['Dehiwala Zoological Gardens'],exact,208,True
Delgamuwa Rajamaha Viharaya,['Delgamuwa Rajamaha Viharaya'],exact,70,True
Devon Waterfall view point,['Devon Waterfall view point'],exact,144,True
Diva Guhawa,['Diva Guhawa'],exact,82,True
Diyaluma Falls,['Diyaluma Falls'],exact,266,True
Dolukanda rajamaha viharaya,['Dolukanda rajamaha viharaya'],exact,56,True
Dondra Head,['Dondra Head'],exact,205,True
"Dry Zone Botanic Gardens, Hambantota","['Dry Zone Botanic Gardens, Hambantota']",exact,259,True
Dumbara ella waterfalls,['Dumbara ella waterfalls'],exact,65,True
Dumpus Ella,['Dumpus Ella'],exact,14,True
Dunhida Waterfall access point,['Dunhida Waterfall access point'],exact,110,True
Dunhinda Waterfall,['Dunhinda Waterfall'],exact,123,True
Dutch Museum,['Dutch Museum'],exact,129,True
Dutch Reformed Church,['Dutch Reformed Church'],exact,116,True
Excel World Entertainment Park,['Excel World Entertainment Park'],exact,200,True
Flamingos Safari Tours,['Flamingos Safari Tours'],exact,8,True
Galhinna big rock,['Galhinna big rock'],exact,27,True
Galle Dutch Fort,['Galle Dutch Fort'],exact,199,True
