Attraction Name,Category,Destination,Details,Mood,Image,destination_normalized,name_normalized,district_normalized
Yala National Park,Wild,Hambantota,"There are six national parks and three wildlife sanctuaries in the vicinity of Yala. Among the largest is Lunugamvehera National Park. The park is situated in the dry semi-arid climatic region and rain is received mainly during the northeast monsoon. Yala hosts a variety of ecosystems ranging from moist monsoon forests to freshwater and marine wetlands. It is one of the 70 Important Bird Areas (IBAs) in Sri Lanka. Yala harbours 215 bird species including six endemic species of Sri Lanka. The number of mammals that has been recorded from the park is 44, and it has one of the highest leopard densities in the world. The area around Yala has hosted several ancient civilisations. Two important pilgrim sites, Sithulpahuwa and Magul Vihara, are situated within the park.

It is situated in the southeast region of the country, and lies in Southern Province and Uva Province. The park covers 979 square kilometers (378 sq. mi) and is located about 300 kilometers (190 mi) from Colombo. Yala was designated as a wildlife sanctuary in 1900, and along with Wilpattu was one of the first two national parks in Sri Lanka, having been designated in 1938. The park is best known for its variety of wild animals. It is important for the conservation of Sri Lankan elephants, Sri Lankan leopards and aquatic birds.",Adventure,,hambantota,yala national park,Hambantota
Sigiriya,Heritage,Dambulla,"The distance from the Colombo is 169km and is on the way to Anuradhapura or polonnaruwa. Sigiriya was designated as a world heritage site in 1982. Sigiriya is famous for it's palace ruins on top of a massive 200 meter high rock surrounded by the remains of an extensive network of gardens, reservoirs and other structures.

The rock itself is a lava plug left over from an ancient long extinct volcano. It is also renowned for its ancient paintings (frescoes), which are similar to those found at Ajanta Caves in India. It is generally agreed, however, that the Sigiriya Frescoes exhibit a uniquely Sri Lankan style. Sigiriya may have been inhabited through prehistoric times.

It was used as a rock-shelter mountain monastery from about the 5th century BC, with caves prepared and donated by devotees of the Buddhist Sangha. Sigiriya Museum shows photos of the excavation of Sigiriya, reproductions of the frescoes, examples and translations of some of the graffiti on the Mirror Wall, and artifacts excavated from the site. You can probably view the museum in about 1 hour. Since the museum is outside the main entrance,",Curious,,dambulla,sigiriya,Dambulla
Galle Fort,Heritage,Galle,"It is situated in 113 kilometers away from Colombo. The Galle Fort, also known as the Dutch Fort or the ""Ramparts of Galle"", is a historical, archaeological and architectural heritage monument, which even after more than 423 years maintains a polished appearance, due to extensive reconstruction work done by Archaeological Department of Sri Lanka. Galle lighthouse, Galle clock tower, Groote Kerk - Galle, All Saints' Church - Galle, National Museum in Galle, Old Dutch Hospital, National Maritime Museum Galle are main archaeological and architectural heritage monuments in Galle fort. The fort has a colorful history, and today has a multi-ethnic and multi-religious population. The Sri Lankan government and many Dutch people who still own some of the properties inside the fort are looking at making this one of the modern wonders of the world. The heritage value of the fort has been recognized by the UNESCO and the site has been inscribed as a cultural heritage UNESCO World Heritage Site under criteria IV, for its unique exposition of ""an urban ensemble which illustrates the interaction of European architecture and South Asian traditions from the 16th to the 19th centuries.""

Galle Fort is in Galle, which is located at the extreme southwest corner of the island, in the southwest coast of Sri Lanka, where the shoreline turns east towards Matara and Tangalle. The fort, like most of the forts in Sri Lanka, is built on a small rocky peninsula, belonging to the sea as much as to the land. As it exists today, it covers an area of 52 hectares (130 acres). Highway A2 provides road links to Galle from Colombo (a distance of 113 kilometers (70 mi)) and the rest of the country along the west coast or from the east along the south coast. Since 2012 an expressway has linked Galle to Colombo. Rail links are also available to Colombo and Matara. Sea route is through the Galle Port at the Galle Harbor.",Curious,,galle,galle fort,Galle
Ella,Scenic,Bandarawela,"The area has a rich bio-diversity, dense with numerous varieties of flora and fauna. Ella is surrounded by hills covered with cloud forests and tea plantations. The town has a cooler climate than surrounding lowlands, due to its elevation. The Ella Gap allows views across the southern plains of Sri Lanka. On a sunny morning, you can even see the glow from the lighthouses along the southern coast.

By rail. Ella's a few stops from Badulla at the end of the railway line that snakes through the Hill Country. Trains go to Colombo and Kandy from here. The fares are ludicrously cheap in 2nd and 3rd class, and the views spectacular. It's usually no problem getting a seat in 2nd/3rd class going to Colombo or Kandy, as the trains from Badulla are quite empty until reaching Nanu Oya. However the reverse is true going up to Ella and it can be quite crowded until the last 2 or 3 hours of the journey. Ella's railway station itself is prettily quaint. there are many travelers who visit ella by train.

By Road, Buses go south through Ella Gap to Wellawaya where you can change for a number of destinations in the south of the island.

The climate throughout most of the year is typical of the high Hill Country, with a hot sun by midday, but a moderate air temperature. It will often rain in the afternoon, but only for an hour or so. A sweatshirt, or light jacket is needed at night. In December it can rain a lot!.

Ella has a small post office and one bank (Bank of Ceylon) with an ATM.

There's not much to do in Ella itself, with a handful of small shops and only a few bars/restaurants. It's basically a nicely relaxing base for exploring the surrounding country.",Relaxed,,bandarawela,ella,Bandarawela
Hikkaduwa Beach,Pristine,Galle,"Hikkaduwa is one of the best surfing spots in Sri Lanka, offering a clear hot water base. The waves vary in size from 4 to 11 feet. Surfing in the Hikkaduwa area is fairly well known and gets the best surfing during its dry season, which is from November to March. There are 4 hotspots in Hikkaduwa. Scuba diving and diving in clear waters are a major past time along this stretch and is the most ecological way to see the colorful fish that dart around. The coral sanctuary along the coast of Hikkaduwa is a large shallow body of water surrounded by a reef, decorated with layers of multicolored corals, and is home to countless colorful fish. Off the beach there is a collection of small islets surrounded by beautiful coral formations. Many species of fish and large turtles are found here. There are more than four different shipwrecks for diving enthusiasts to explore as well as diving shops offering PADI courses and equipment

There are so many hotels, shops, bars, restaurants and guest houses. The beaches are beautiful and wide and swimming is safe here, although the currents are stronger when it comes south of Hikkaduwa. The impressive coral reef lies just offshore and is still populated with exotic fish and sea turtles. Glass bottom boats are available for visitors who want to admire the wonders of deep while keeping their feet dry! After a short distance south of the center of the reef, it decreases and begins a wider sandy beach with good waves ideal for board surfing and body surfing. There are many shops selling masks, jewelry, jewelry, batik, antiques and etc. with several Buddhist temples, all of which add spices to life in Hikkaduwa.",Peaceful,,galle,hikkaduwa beach,Galle
Dambulla Cave Temple,Heritage,Dambulla,"The Dambulla Cave Temple, also called the Golden Temple of Dambulla, is a UNESCO World Heritage Site built around a large granite outcrop roughly 160 metres above the surrounding plains. It comprises five main caves containing over 150 Buddha statues along with painted ceilings and walls covering some 2,100 square metres, making it the largest and best-preserved cave-temple complex in Sri Lanka. The site has been a place of pilgrimage for more than 2,000 years, with the earliest shrines dating back to the 1st century BCE when King Valagamba took refuge here.",Curious,,dambulla,dambulla cave temple,Dambulla
Kataragama,Heritage,Kataragama,"Kataragama is one of Sri Lanka's most important multi-religious pilgrimage towns, sacred to Buddhists, Hindus, Muslims, and the indigenous Vedda people alike. Its central shrine, the Kataragama Devalaya, is dedicated to the god Kataragama (identified with the Hindu deity Murugan/Skanda), and the town also holds the Kiri Vehera stupa and the Uddakandara Kovil. The annual Kataragama Festival (Esala) draws huge crowds and features dramatic rituals including fire-walking and ritual piercing as acts of devotion.",Curious,,kataragama,kataragama,Kataragama
Viharamahadevi Park,Scenic,Colombo,"Viharamahadevi Park is Colombo's oldest and largest public park, laid out by the British in 1864 as Victoria Park before being renamed after the mother of King Dutugemunu. It sits opposite Colombo Town Hall and is known for its wide lawns, a lake, a Japanese-donated Buddha statue, and its many flowering trees, especially yellow trumpet trees and flame trees that bloom in April. The park is a popular spot for families and joggers and hosts an annual flower show.",Relaxed,,colombo,viharamahadevi park,Colombo
Panavitiya Ambalama,Heritage,Kurunegala,"Panavitiya Ambalama is a beautifully carved 19th-century wayside resting hall (ambalama) in the Kurunegala District, traditionally used by travelers and traders as a shelter along old trade routes. It is celebrated for its finely carved wooden pillars decorated with figures of dancers, wrestlers, animals, and mythical creatures in the Kandyan style. It stands today as one of the best-preserved examples of this once-common type of Sri Lankan roadside architecture.",Relaxed,,kurunegala,panavitiya ambalama,Kurunegala
Gal Oya National Park,Wild,Ampara,"Gal Oya National Park in Ampara District surrounds the vast Senanayake Samudraya reservoir and is best known for boat safaris that let visitors watch elephants swim between islands in the lake, a rare sight in Sri Lanka. The park protects dry-zone forest that is home to elephants, leopards, sloth bears, and numerous water birds, and it also has cultural sites and Vedda indigenous communities in the surrounding area. Jeep and boat safaris are the main way to explore its 25,900 hectares.",Relaxed,,ampara,gal oya national park,Ampara
